block,trial,rocknumber,category,token,catresponse,cat_correct
1,2,1,Igneous,1,Igneous,1
1,10,1,Igneous,1,Igneous,1
1,15,1,Igneous,1,Sedimentary,0
1,15,1,Igneous,1,Igneous,1
1,15,1,Igneous,1,Metamorphic,0
1,16,1,Igneous,1,Igneous,1
1,20,1,Igneous,1,Igneous,1
1,22,1,Igneous,1,Metamorphic,0
1,23,1,Igneous,1,Igneous,1
1,25,1,Igneous,1,Igneous,1
1,27,1,Igneous,1,Igneous,1
1,28,1,Igneous,1,Igneous,1
1,32,1,Igneous,1,Igneous,1
1,34,1,Igneous,1,Sedimentary,0
1,37,1,Igneous,1,Igneous,1
1,47,1,Igneous,1,Igneous,1
1,48,1,Igneous,1,Igneous,1
1,51,1,Igneous,1,Metamorphic,0
1,55,1,Igneous,1,Metamorphic,0
1,55,1,Igneous,1,Igneous,1
1,60,1,Igneous,1,Igneous,1
1,66,1,Igneous,1,Metamorphic,0
1,68,1,Igneous,1,Igneous,1
1,71,1,Igneous,1,Igneous,1
1,72,1,Igneous,1,Igneous,1
1,75,1,Igneous,1,Igneous,1
1,76,1,Igneous,1,Metamorphic,0
1,76,1,Igneous,1,Igneous,1
1,77,1,Igneous,1,Igneous,1
1,78,1,Igneous,1,Igneous,1
1,79,1,Igneous,1,Metamorphic,0
1,81,1,Igneous,1,Igneous,1
1,82,1,Igneous,1,Igneous,1
1,84,1,Igneous,1,Igneous,1
1,85,1,Igneous,1,Igneous,1
1,87,1,Igneous,1,Igneous,1
1,88,1,Igneous,1,Metamorphic,0
1,91,1,Igneous,1,Igneous,1
1,92,1,Igneous,1,Igneous,1
1,100,1,Igneous,1,Igneous,1
1,105,1,Igneous,1,Igneous,1
1,108,1,Igneous,1,Igneous,1
1,109,1,Igneous,1,Igneous,1
1,110,1,Igneous,1,Igneous,1
1,112,1,Igneous,1,Igneous,1
1,113,1,Igneous,1,Igneous,1
1,119,1,Igneous,1,Sedimentary,0
1,126,1,Igneous,1,Igneous,1
1,127,1,Igneous,1,Igneous,1
1,128,1,Igneous,1,Igneous,1
1,129,1,Igneous,1,Metamorphic,0
1,130,1,Igneous,1,Igneous,1
1,131,1,Igneous,1,Metamorphic,0
1,136,1,Igneous,1,Sedimentary,0
1,141,1,Igneous,1,Igneous,1
1,143,1,Igneous,1,Igneous,1
1,146,1,Igneous,1,Igneous,1
1,147,1,Igneous,1,Igneous,1
1,149,1,Igneous,1,Igneous,1
1,150,1,Igneous,1,Metamorphic,0
1,151,1,Igneous,1,Igneous,1
1,158,1,Igneous,1,Igneous,1
1,164,1,Igneous,1,Metamorphic,0
1,167,1,Igneous,1,Igneous,1
1,169,1,Igneous,1,Igneous,1
1,171,1,Igneous,1,Metamorphic,0
1,174,1,Igneous,1,Igneous,1
1,177,1,Igneous,1,Igneous,1
1,178,1,Igneous,1,Igneous,1
2,182,1,Igneous,1,Metamorphic,0
2,183,1,Igneous,1,Igneous,1
2,185,1,Igneous,1,Igneous,1
2,187,1,Igneous,1,Igneous,1
2,189,1,Igneous,1,Sedimentary,0
2,191,1,Igneous,1,Metamorphic,0
2,192,1,Igneous,1,Igneous,1
2,195,1,Igneous,1,Igneous,1
2,196,1,Igneous,1,Igneous,1
2,199,1,Igneous,1,Igneous,1
2,200,1,Igneous,1,Metamorphic,0
2,201,1,Igneous,1,Igneous,1
2,202,1,Igneous,1,Metamorphic,0
2,203,1,Igneous,1,Igneous,1
2,205,1,Igneous,1,Igneous,1
2,206,1,Igneous,1,Sedimentary,0
2,212,1,Igneous,1,Metamorphic,0
2,213,1,Igneous,1,Igneous,1
2,215,1,Igneous,1,Igneous,1
2,219,1,Igneous,1,Igneous,1
2,220,1,Igneous,1,Igneous,1
2,222,1,Igneous,1,Igneous,1
2,224,1,Igneous,1,Igneous,1
2,226,1,Igneous,1,Sedimentary,0
2,226,1,Igneous,1,Igneous,1
2,229,1,Igneous,1,Metamorphic,0
2,230,1,Igneous,1,Metamorphic,0
2,230,1,Igneous,1,Igneous,1
2,231,1,Igneous,1,Igneous,1
2,235,1,Igneous,1,Sedimentary,0
2,238,1,Igneous,1,Igneous,1
2,239,1,Igneous,1,Igneous,1
2,247,1,Igneous,1,Metamorphic,0
2,259,1,Igneous,1,Igneous,1
2,266,1,Igneous,1,Igneous,1
2,267,1,Igneous,1,Igneous,1
2,271,1,Igneous,1,Igneous,1
2,275,1,Igneous,1,Igneous,1
2,276,1,Igneous,1,Igneous,1
2,278,1,Igneous,1,Igneous,1
2,279,1,Igneous,1,Metamorphic,0
2,283,1,Igneous,1,Igneous,1
2,284,1,Igneous,1,Metamorphic,0
2,285,1,Igneous,1,Igneous,1
2,289,1,Igneous,1,Metamorphic,0
2,289,1,Igneous,1,Igneous,1
2,290,1,Igneous,1,Igneous,1
2,291,1,Igneous,1,Metamorphic,0
2,292,1,Igneous,1,Igneous,1
2,296,1,Igneous,1,Igneous,1
2,299,1,Igneous,1,Igneous,1
2,300,1,Igneous,1,Igneous,1
2,301,1,Igneous,1,Igneous,1
2,302,1,Igneous,1,Igneous,1
2,312,1,Igneous,1,Igneous,1
2,314,1,Igneous,1,Igneous,1
2,316,1,Igneous,1,Igneous,1
2,317,1,Igneous,1,Igneous,1
2,318,1,Igneous,1,Igneous,1
2,319,1,Igneous,1,Igneous,1
2,321,1,Igneous,1,Igneous,1
2,322,1,Igneous,1,Igneous,1
2,330,1,Igneous,1,Metamorphic,0
2,334,1,Igneous,1,Igneous,1
2,336,1,Igneous,1,Metamorphic,0
2,340,1,Igneous,1,Igneous,1
2,341,1,Igneous,1,Igneous,1
2,345,1,Igneous,1,Igneous,1
2,347,1,Igneous,1,Igneous,1
2,347,1,Igneous,1,Metamorphic,0
2,348,1,Igneous,1,Igneous,1
2,351,1,Igneous,1,Igneous,1
2,352,1,Igneous,1,Igneous,1
2,353,1,Igneous,1,Igneous,1
2,353,1,Igneous,1,Metamorphic,0
2,354,1,Igneous,1,Igneous,1
2,359,1,Igneous,1,Igneous,1
3,361,1,Igneous,1,Igneous,1
3,366,1,Igneous,1,Metamorphic,0
3,367,1,Igneous,1,Igneous,1
3,367,1,Igneous,1,Sedimentary,0
